Sample ID,Cattle Tag Number,Biorepository Number,USNM Number,Country,Region,Site,Sampling Date,Latitude,Longitude,Set,STRI,RSMAS,ANALYSIS,PANAMA_MANUSCRIPT,REPLICATE,SINGLETON,Region:Site,haplotype,mtorf_type,Species
Gorgona_22,22A,NA,NA,Colombia,Gorgona,Azufrada N,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Gorgona:Azufrada N,IV,Type 1a,P. grandis
Gorgona_23,23-1A,NA,NA,Colombia,Gorgona,Azufrada N,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Gorgona:Azufrada N,IV,Type 1a,P. grandis
Gorgona_24,24-1A,NA,NA,Colombia,Gorgona,Azufrada N,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Gorgona:Azufrada N,IV,Type 1a,P. grandis
Gorgona_26,26,NA,NA,Colombia,Gorgona,Azufrada N,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Gorgona:Azufrada N,IV,Type 1a,P. grandis
Gorgona_27,27,NA,NA,Colombia,Gorgona,Azufrada N,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Gorgona:Azufrada N,IV,Type 1a,P. grandis
Gorgona_28,28,NA,NA,Colombia,Gorgona,Azufrada N,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Gorgona:Azufrada N,IV,Type 1a,P. grandis
Gorgona_30,30,NA,NA,Colombia,Gorgona,Azufrada N,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Gorgona:Azufrada N,IV,Type 1a,P. grandis
Gorgona_31,31,NA,NA,Colombia,Gorgona,Azufrada N,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Gorgona:Azufrada N,IV,Type 1a,P. grandis
Gorgona_41,41,NA,NA,Colombia,Gorgona,Azufrada S,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Gorgona:Azufrada S,IV,Type 1a,P. grandis
Gorgona_44,44,NA,NA,Colombia,Gorgona,Azufrada S,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Gorgona:Azufrada S,IV,Type 1a,P. grandis
Gorgona_46,46,NA,NA,Colombia,Gorgona,Azufrada S,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Gorgona:Azufrada S,IV,Type 1a,P. grandis
Gorgona_47,47,NA,NA,Colombia,Gorgona,Azufrada S,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Gorgona:Azufrada S,IV,Type 1a,P. grandis
Gorgona_49,49,NA,NA,Colombia,Gorgona,Azufrada S,,2.92975,-78.20268,AMP,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Gorgona:Azufrada S,IV,Type 1a,P. grandis
